,Active Learning,Analytical,Communication,Complex problem solving,Creativity,Digital quotience literacy,Entrepreneurship,Integrity,Interpersonal Skills,Leadership,Resilience,Total
วศ.บ.วิศวกรรมไฟฟ้าสื่อสารและเครือข่าย,40,40,41,38,36,29,21,35,38,35,37,390
วศ.บ.วิศวกรรมไฟฟ้าสื่อสารและเครือข่าย,1,1,1,1,1,1,1,1,1,1,1,11
วศ.บ.วิศวกรรมไฟฟ้า,5,7,10,7,6,4,4,2,6,6,5,62
วศ.บ.วิศวกรรมไฟฟ้า,1,5,6,3,4,1,3,1,8,7,6,45
วศ.บ. วิศวกรรมระบบไอโอทีและสารสนเทศ,70,88,73,77,75,71,47,88,78,39,75,781
วศ.บ. วิศวกรรมระบบไอโอทีและสารสนเทศ,21,21,21,21,21,21,21,21,21,21,21,231
วศ.บ.วิศวกรรมโยธา,13,13,14,12,14,6,8,6,8,9,7,110
วศ.บ.วิศวกรรมโยธา,23,10,12,29,14,3,12,5,15,5,13,141
วศ.บ.วิศวกรรมคอมพิวเตอร์,16,14,19,18,15,0,1,18,19,5,19,144
วศ.บ.วิศวกรรมคอมพิวเตอร์,1,1,1,2,1,0,1,3,1,1,1,13
วศ.บ.วิศวกรรมอิเล็กทรอนิกส์,21,21,21,21,21,21,21,21,21,21,21,231
วศ.บ.วิศวกรรมอิเล็กทรอนิกส์,1,1,1,1,1,1,1,1,1,1,1,11
วศ.บ.วิศวกรรมแมคคาทรอนิกส์และออโตเมชั่น,13,13,13,13,13,13,13,13,13,13,13,143
วศ.บ.วิศวกรรมแมคคาทรอนิกส์และออโตเมชั่น,1,1,1,1,1,1,1,1,1,1,1,11
วศ.บ.วิศวกรรมขนส่งทางราง,4,7,10,10,0,0,0,4,7,8,6,56
วศ.บ.วิศวกรรมขนส่งทางราง,1,3,1,1,0,0,0,1,1,1,9,18
วศ.บ.วิศวกรรมเครื่องกล,2,4,20,4,3,3,2,1,16,15,6,76
วศ.บ.วิศวกรรมเครื่องกล,1,3,1,1,1,1,1,3,1,1,1,15
วศ.บ.วิศวกรรมอุตสาหการ,14,15,15,15,11,0,4,5,14,14,13,120
วศ.บ.วิศวกรรมอุตสาหการ,0,0,0,0,1,0,0,0,0,0,0,1
วศ.บ.วิศวกรรมเคมี,6,9,10,9,8,9,1,8,9,6,10,85
วศ.บ.วิศวกรรมเคมี,1,1,1,1,1,1,1,1,1,1,1,11
วศ.บ.วิศวกรรมเกษตรอัจฉริยะ (พหุวิทยาการ),11,11,11,11,11,11,11,11,11,11,11,121
วศ.บ.วิศวกรรมเกษตรอัจฉริยะ (พหุวิทยาการ),22,25,23,18,8,11,15,27,15,7,25,196
วศ.บ.วิศวกรรมอาหาร,3,2,2,5,2,1,1,1,3,3,1,24
วศ.บ. วิศวกรรมอุตสาหการและการจัดการโลจิสติกส์ (นานาชาติ),16,17,17,17,10,0,4,8,16,16,15,136
วศ.บ.วิศวกรรมซอฟต์แวร์ (นานาชาติ),13,12,13,13,11,1,8,12,11,12,13,119
วศ.บ.วิศวกรรมพลังงาน (นานาชาติ),21,21,21,21,21,21,21,21,21,21,21,231
วศ.บ.วิศวกรรมพลังงาน (นานาชาติ),6,5,10,13,7,7,4,6,7,7,9,81
วศ.บ. การจัดการวิศวกรรมและการเป็นผู้ประกอบการ (นานาชาติ),15,18,18,17,15,8,3,17,18,17,18,164
วศ.บ. การจัดการวิศวกรรมและการเป็นผู้ประกอบการ (นานาชาติ),6,4,6,6,3,5,2,8,7,3,6,56
วศ.บ.วิศวกรรมการเงิน (นานาชาติ),12,12,12,12,12,12,12,12,12,12,12,132
วศ.บ.วิศวกรรมการเงิน (นานาชาติ),31,36,30,34,30,15,8,34,22,15,21,276
วศ.บ.วิศวกรรมหุ่นยนต์และปัญญาประดิษฐ์ (สหวิทยาการ) (นานาชาติ),17,17,17,17,17,17,17,17,17,17,17,187
วศ.บ.วิศวกรรมหุ่นยนต์และปัญญาประดิษฐ์ (สหวิทยาการ) (นานาชาติ),32,43,21,37,31,20,9,34,32,11,27,297
วศ.บ.วิศวกรรมชีวการแพทย์ (นานาชาติ),14,14,14,14,14,14,14,14,14,14,14,154
วศ.บ.วิศวกรรมชีวการแพทย์ (นานาชาติ),10,13,11,31,18,2,6,9,8,9,11,128
สถ.บ.สถาปัตยกรรมหลัก,7,5,7,6,3,7,6,7,6,4,5,63
สถ.บ.สถาปัตยกรรมหลัก,43,23,26,26,34,12,10,20,19,17,28,258
สถ.บ.ศิลปอุตสาหกรรม,20,20,20,20,20,20,20,0,20,20,20,200
ภูมิสถาปัตยกรรมศาสตรบัณฑิต,3,6,6,6,6,3,3,6,6,6,6,57
ศป.บ.ศิลปกรรม มีเดียอาร์ต และอิลลัสเตชันอาร์ต,0,0,0,8,0,8,8,0,0,8,0,32
ศป.บ.ศิลปกรรม มีเดียอาร์ต และอิลลัสเตชันอาร์ต,0,0,0,2,0,2,2,0,0,1,0,7
ศป.บ.ภาพยนตร์และดิจิทัลมีเดีย,25,34,35,35,35,34,19,35,35,30,35,352
ศป.บ.ภาพยนตร์และดิจิทัลมีเดีย,36,36,35,36,36,36,31,35,33,34,36,384
ศป.บ.วิชานิเทศศิลป์,13,13,13,13,13,13,13,13,13,13,13,143
ศป.บ.วิชานิเทศศิลป์,36,35,28,35,35,33,10,30,22,22,31,317
ศป.บ.การถ่ายภาพ,9,7,10,10,10,10,10,8,10,9,8,101
ศป.บ.การถ่ายภาพ,12,7,5,7,25,12,7,8,11,11,6,111
ศป.บ.การออกแบบสนเทศสามมิติและสื่อบูรณาการ,5,5,5,5,5,5,5,5,5,5,5,55
ศป.บ.การออกแบบสนเทศสามมิติและสื่อบูรณาการ,30,0,0,21,0,0,6,10,0,10,12,89
สถ.บ.สถาปัตยกรรมภายใน,19,19,19,19,19,19,19,19,19,19,19,209
สถ.บ.สถาปัตยกรรมภายใน,17,16,13,13,12,7,6,13,18,11,12,138
ค.อ.บ.ครุศาสตร์วิศวกรรม,3,0,3,3,0,3,0,3,0,3,3,21
ค.อ.บ.ครุศาสตร์วิศวกรรม,6,0,2,7,0,6,0,7,0,2,7,37
ค.อ.บ.ครุศาสตร์การออกแบบ,3,3,3,3,3,3,3,3,3,3,3,33
ค.อ.บ.ครุศาสตร์การออกแบบ,1,0,0,1,1,1,0,1,1,0,1,7
ค.อ.บ.การออกแบบสภาพแวดล้อมภายใน (หลักสูตร 5 ปี),15,14,15,15,15,15,15,15,15,15,15,164
ค.อ.บ.การออกแบบสภาพแวดล้อมภายใน (หลักสูตร 5 ปี),0,0,11,0,0,0,0,0,0,0,2,13
ค.อ.บ.สถาปัตยกรรม (หลักสูตร 5 ปี),4,8,12,5,8,3,4,4,4,5,5,62
ค.อ.บ.สถาปัตยกรรม (หลักสูตร 5 ปี),13,10,6,7,10,5,8,8,11,7,14,99
วท.บ.นวัตกรรมการผลิตสัตว์น้ำและการจัดการทรัพยากรประมง,4,19,24,19,6,1,5,15,20,1,15,129
วท.บ.นวัตกรรมการผลิตสัตว์น้ำและการจัดการทรัพยากรประมง,2,3,5,3,4,0,3,6,2,2,3,33
วท.บ.ภูมิทัศน์เพื่อสิ่งแวดล้อม,6,6,6,6,6,0,1,0,5,0,3,39
วท.บ.ภูมิทัศน์เพื่อสิ่งแวดล้อม,1,1,2,6,11,0,2,0,2,0,6,31
วท.บ.การจัดการฟาร์มอย่างชาญฉลาด (พหุวิทยาการ),1,10,9,10,2,1,3,9,6,7,9,67
วท.บ.การจัดการฟาร์มอย่างชาญฉลาด (พหุวิทยาการ),9,11,12,8,8,0,7,10,8,8,8,89
วท.บ.นิเทศศาสตร์เกษตร,12,8,43,9,33,3,4,1,24,4,2,143
วท.บ.นิเทศศาสตร์เกษตร,4,6,2,2,1,2,3,3,1,1,1,26
วท.บ.พัฒนาการเกษตร,0,0,0,0,11,0,11,0,0,11,0,33
วท.บ.พัฒนาการเกษตร,0,0,0,0,6,0,3,0,0,3,0,12
วท.บ.เทคโนโลยีการผลิตสัตว์และวิทยาศาสตร์เนื้อสัตว์,4,6,5,5,7,1,1,2,5,3,2,41
วท.บ.เทคโนโลยีการผลิตสัตว์และวิทยาศาสตร์เนื้อสัตว์,3,4,1,1,1,1,3,3,1,1,1,20
วท.บ.เทคโนโลยีการผลิตพืช,3,10,7,10,9,3,3,6,3,2,2,58
วท.บ.เทคโนโลยีการผลิตพืช,12,14,7,5,8,4,14,6,9,3,7,89
วท.บ.ฟิสิกส์อุตสาหกรรม,5,9,9,10,12,7,1,5,13,4,8,83
วท.บ.ฟิสิกส์อุตสาหกรรม,11,16,11,15,12,10,15,4,15,6,14,129
วท.บ.สถิติประยุกต์และการวิเคราะห์ข้อมูล,8,8,8,8,8,8,8,8,8,8,8,88
วท.บ.สถิติประยุกต์และการวิเคราะห์ข้อมูล,7,5,1,3,3,1,1,2,4,2,3,32
วท.บ.คณิตศาสตร์ประยุกต์,8,11,11,11,5,5,2,9,11,3,4,80
วท.บ.คณิตศาสตร์ประยุกต์,4,5,4,5,5,1,1,6,6,4,4,45
วท.บ.วิทยาการคอมพิวเตอร์,5,5,6,6,6,0,0,6,6,0,0,40
วท.บ.เทคโนโลยีชีวภาพอุตสาหกรรม,1,7,9,7,5,0,1,0,3,1,0,34
วท.บ.เทคโนโลยีชีวภาพอุตสาหกรรม,3,8,9,7,5,0,2,0,4,2,0,40
วท.บ.เคมีอุตสาหกรรม,2,9,14,13,6,0,0,9,13,3,11,80
วท.บ.เคมีอุตสาหกรรม,3,0,3,4,0,0,0,0,0,1,2,13
วท.บ.จุลชีววิทยาอุตสาหกรรม,2,4,5,5,3,0,0,5,4,0,0,28
วท.บ.จุลชีววิทยาอุตสาหกรรม,5,5,6,6,6,0,0,6,6,0,0,40
วท.บ. เทคโนโลยีสิ่งแวดล้อมและการจัดการอย่างยั่งยืน,7,6,9,7,2,9,3,5,4,6,6,64
วท.บ. เทคโนโลยีสิ่งแวดล้อมและการจัดการอย่างยั่งยืน,8,14,9,8,3,14,2,5,7,6,4,80
วท.บ.เทคโนโลยีสารสนเทศทางธุรกิจ (หลักสูตรนานาชาติ),3,6,2,4,6,4,0,0,1,0,1,27
วท.บ.วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ,25,0,25,0,0,25,25,25,0,25,25,175
วท.บ.เทคโนโลยีสารสนเทศ,28,28,28,28,28,28,28,28,28,28,28,308
วท.บ.เทคโนโลยีการหมักในอุตสาหกรรมอาหาร,1,13,14,13,10,0,1,1,13,6,8,80
วท.บ.เทคโนโลยีการหมักในอุตสาหกรรมอาหาร,6,11,4,5,7,0,2,3,8,4,7,57
วท.บ.วิทยาศาสตร์และเทคโนโลยีการอาหาร,6,7,9,8,9,9,9,9,9,8,9,92
วท.บ.วิทยาศาสตร์และเทคโนโลยีการอาหาร,26,14,4,5,10,6,4,4,5,4,3,85
วท.บ.วิศวกรรมแปรรูปอาหาร,1,7,8,7,3,0,1,0,8,4,0,39
วท.บ.วิศวกรรมแปรรูปอาหาร,5,9,3,2,4,0,3,0,1,2,0,29
วศ.บ.เทคโนโลยีวัสดุชาญฉลาด (หลักสูตรพหุวิทยาการ)(หลักสูตรนานาชาติ),8,7,8,8,8,8,8,8,8,8,8,87
วศ.บ.เทคโนโลยีวัสดุชาญฉลาด (หลักสูตรพหุวิทยาการ)(หลักสูตรนานาชาติ),4,5,2,6,2,2,1,6,4,1,4,37
วศ.บ.วิศวกรรมวัสดุนาโน,11,11,11,11,11,11,11,11,11,11,11,121
วศ.บ.วิศวกรรมวัสดุนาโน,3,12,11,8,8,2,4,8,10,4,6,76
วศ.บ.วิศวกรรมระบบการผลิต,3,21,18,21,7,13,0,1,1,4,4,93
วศ.บ.วิศวกรรมระบบการผลิต,0,2,2,2,2,2,0,0,1,2,2,15
บธ.บ.บริหารธุรกิจ,4,2,2,3,2,1,1,0,4,2,3,24
บธ.บ.บริหารธุรกิจ,1,4,3,4,2,3,2,0,8,5,4,36
ศ.บ.เศรษฐศาสตร์ธุรกิจและการจัดการ,2,10,4,9,3,7,7,5,11,9,9,76
ศ.บ.เศรษฐศาสตร์ธุรกิจและการจัดการ,2,13,1,14,1,5,3,1,3,5,5,53
บธ.บ.การเป็นผู้ประกอบการระดับโลก (หลักสูตรนานาชาติ),1,1,1,1,1,1,1,1,1,1,1,11
บธ.บ.การเป็นผู้ประกอบการระดับโลก (หลักสูตรนานาชาติ),3,5,3,4,5,7,16,5,3,6,3,60
วศ.บ.วิศวกรรมการบินและนักบินพาณิชย์ (นานาชาติ),0,9,9,3,1,3,0,1,9,8,1,44
วศ.บ.วิศวกรรมการบินและนักบินพาณิชย์ (นานาชาติ),0,30,29,30,29,30,0,0,30,30,30,238
วท.บ.การจัดการโลจิสติกส์ (นานาชาติ),2,2,6,6,1,5,0,0,5,1,5,33
วท.บ.การจัดการโลจิสติกส์ (นานาชาติ),1,0,1,4,1,4,0,0,1,1,1,14
ศศ.บ.ภาษาอังกฤษ,5,7,12,15,10,12,7,8,12,5,15,108
ศศ.บ.ภาษาอังกฤษ,8,18,7,29,21,18,11,7,17,8,10,154
ศศ.บ.ภาษาญี่ปุ่น,2,11,16,15,7,0,1,16,6,2,16,92
ศศ.บ.นวัตกรรมการท่องเที่ยวและการบริการ,0,3,11,6,2,1,1,10,10,2,9,55
ศศ.บ.นวัตกรรมการท่องเที่ยวและการบริการ,0,10,31,17,8,5,2,12,28,12,9,134
ศศ.บ.ภาษาจีนเพื่ออุตสาหกรรม,0,0,10,5,1,4,1,3,7,0,7,38
ศศ.บ.ภาษาจีนเพื่ออุตสาหกรรม,0,0,21,10,6,2,8,45,8,0,9,109
วศ.บ.วิศวกรรมดนตรีและสื่อประสม,19,18,19,19,19,19,19,19,19,19,19,208
วศ.บ.วิศวกรรมดนตรีและสื่อประสม,8,0,0,4,0,8,8,0,6,8,11,53
วศ.บ.วิศวกรรมคอมพิวเตอร์,7,6,3,8,3,5,1,5,3,3,7,51
วศ.บ.วิศวกรรมคอมพิวเตอร์,8,5,4,9,5,6,0,4,4,3,8,56
วศ.บ.วิศวกรรมคอมพิวเตอร์,7,4,3,7,2,8,1,6,2,4,8,52
วศ.บ.วิศวกรรมคอมพิวเตอร์,6,7,4,6,1,5,2,6,4,5,6,52
วศ.บ.วิศวกรรมคอมพิวเตอร์,7,6,2,10,4,3,0,7,5,2,5,51
วศ.บ.วิศวกรรมคอมพิวเตอร์,7,7,3,8,6,7,0,5,2,5,8,58
วศ.บ.วิศวกรรมคอมพิวเตอร์,8,5,2,6,4,8,0,4,3,6,9,55
วศ.บ.วิศวกรรมคอมพิวเตอร์,8,8,5,9,3,6,0,5,4,7,7,62
วศ.บ.วิศวกรรมคอมพิวเตอร์,8,6,5,8,2,7,0,6,2,1,8,53
วศ.บ.วิศวกรรมคอมพิวเตอร์,6,8,6,8,4,8,1,5,5,7,6,64
วศ.บ.วิศวกรรมคอมพิวเตอร์,6,9,4,9,6,9,3,7,4,3,9,69
วศ.บ.วิศวกรรมคอมพิวเตอร์,7,6,2,8,4,5,2,4,3,2,5,48
วศ.บ.วิศวกรรมคอมพิวเตอร์,7,7,4,7,2,6,0,5,5,6,8,57
วศ.บ.วิศวกรรมคอมพิวเตอร์,7,8,5,6,3,8,1,6,3,3,6,56
วศ.บ.วิศวกรรมคอมพิวเตอร์,7,5,6,9,2,7,1,4,4,5,5,55
วศ.บ.วิศวกรรมคอมพิวเตอร์,8,8,4,10,4,8,1,4,4,6,9,66
วศ.บ.วิศวกรรมคอมพิวเตอร์,6,6,6,10,5,6,2,3,3,7,5,59
วศ.บ.วิศวกรรมคอมพิวเตอร์,6,7,4,10,2,7,0,6,1,8,6,57
วศ.บ.วิศวกรรมคอมพิวเตอร์,8,5,2,8,3,5,2,7,3,3,8,54
วศ.บ.วิศวกรรมคอมพิวเตอร์,7,6,4,9,4,7,1,5,4,5,9,61
วศ.บ.วิศวกรรมคอมพิวเตอร์,6,9,6,9,2,8,2,4,5,6,6,63
วศ.บ.วิศวกรรมคอมพิวเตอร์,8,8,4,7,4,5,1,6,2,1,8,54
วศ.บ.วิศวกรรมคอมพิวเตอร์,7,6,5,7,3,6,3,7,3,5,6,58
วศ.บ.วิศวกรรมคอมพิวเตอร์,7,6,2,6,4,7,2,4,5,4,6,53
วศ.บ.วิศวกรรมคอมพิวเตอร์,7,7,4,9,3,4,4,3,1,2,9,53
วศ.บ.วิศวกรรมคอมพิวเตอร์,7,8,5,6,3,8,1,6,3,3,6,56
